,index,Facility,Sample Collection Date,Sample Field ID,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTrDA,PFUnA,Units
21,33,Cascades Paper Mill,3/1/2021,Primary,0.0760481236532371,0.182466093201902,0.264713431974154,0.188842047267023,0.0880090046777248,0.415,0.350062355299456,0.974431076629079,1.66250942891497,1.15,0.246507282034088,g/kg
22,34,Cascades Paper Mill,3/1/2021,Duplicate,0.0255775065181062,0.186396666833179,0.115290257424348,0.102607863361954,0.204633239288165,0.44,0.18337429850372,0.974431076629079,1.79883387933894,1.15,0.317039383882824,g/kg
23,36,"Concord, NH WWTF",9/2/2020, ,0.0477830039940996,0.609237085399481,5.6,5.6,1.24691247352878,5.6,5.6,0.951440750266469,2.56375949068305,5.6,5.6,g/kg
24,37,"Concord, NH WWTF",3/1/2021,Dewatered sludge cake,0.0246555723194508,0.701,0.232238562959966,0.0844830996442628,0.187463103686,1.71,0.244995476820461,0.895,14.0,0.51,0.164637945105151,g/kg
25,40,Dartmouth WWTF,10/27/2020,Primary,0.0246555723194508,2.63,0.712,1.42,14.8,0.106,0.733,4.49,2.59,0.0885,0.112852665404751,g/kg
26,41,Dartmouth WWTF,10/27/2020,Duplicate,0.0246555723194508,3.15,1.08,1.94,13.4,0.104,0.919,4.56,3.43,0.087,0.112852665404751,g/kg
27,42,Dartmouth WWTF,4/26/2021,Primary,0.0176920509415284,1.88,0.936,0.393,10.9,0.131,0.462,3.16,2.11,0.1095,0.382,g/kg
28,43,Dartmouth WWTF,4/26/2021,Duplicate,1.98,1.71,0.0794710213046194,0.383,8.88,0.1145,0.33,2.59,1.57,0.0955,0.414,g/kg
29,45,"EarthSource, Inc.",1/22/2021,Primary,0.0139541374415646,0.11033479469227,0.0912839263017426,0.0115962343177791,0.0919986437018484,0.0305,0.0923903563481732,0.0890645040330524,1.57,0.103,0.112852665404751,g/kg
30,46,"EarthSource, Inc.",1/22/2021,Duplicate,0.0139541374415646,0.11033479469227,0.0912839263017426,0.0115962343177791,0.0919986437018484,0.034,0.0923903563481732,0.0890645040330524,1.8,0.1155,0.112852665404751,g/kg
