,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
94,94,Ipswich Compost,3/22/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
95,95,Ipswich Compost,6/4/2021,Ipswich Compost,NEtFOSAA,0.2455,0.491,,0.491,1
97,97,"Merrimack, NH WWTF",9/17/2020, ,NEtFOSAA,0.2455,0.491,,0.491,1
98,98,"Merrimack, NH WWTF",9/17/2020,PRIMARY SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
99,99,"Merrimack, NH WWTF",9/17/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
101,101,"Merrimack, NH WWTF",6/2/2021,?,NEtFOSAA,0.2455,0.491,,0.491,1
77,77,Hawk Ridge Compost Facility,5/2/2021,HRCF051221,NEtFOSAA,0.2455,0.491,,0.491,1
76,76,Hawk Ridge Compost,10/23/2020,Compost 2,NEtFOSAA,0.2455,0.491,,0.491,1
78,78,Hawk Ridge Compost Facility,5/2/2021,HRCF 051221-DUP,NEtFOSAA,0.2455,0.491,,0.491,1
74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,NEtFOSAA,0.2455,0.491,,0.491,1
55,55,Eresco (Erving),3/23/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
56,56,Eresco (Erving),3/23/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
61,61,Greater Lawrence Sanitary District,9/29/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
75,75,Hawk Ridge Compost,10/23/2020,Compost 1,NEtFOSAA,0.2455,0.491,,0.491,1
63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,NEtFOSAA,0.2455,0.491,,0.491,1
64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,NEtFOSAA,0.2455,0.491,,0.491,1
65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,NEtFOSAA,0.2455,0.491,,0.491,1
66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,NEtFOSAA,0.2455,0.491,,0.491,1
62,62,Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,NEtFOSAA,0.2455,0.491,,0.491,1
105,105,Montague WPCF,10/26/2020,1 DUPLICATE,NEtFOSAA,0.2455,0.491,,0.491,1
68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,NEtFOSAA,0.2455,0.491,,0.491,1
69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,NEtFOSAA,0.2455,0.491,,0.491,1
73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,NEtFOSAA,0.2455,0.491,,0.491,1
70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,NEtFOSAA,0.2455,0.491,,0.491,1
72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,NEtFOSAA,0.2455,0.491,,0.491,1
67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,NEtFOSAA,0.2455,0.491,,0.491,1
71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,NEtFOSAA,0.2455,0.491,,0.491,1
160,160,Soundview Vermont Holdings,5/14/2021,,NEtFOSAA,0.3445,0.689,,0.689,1
208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,NEtFOSAA,0.769,0.698,0.118,0.118,0
35,35,"Concord, NH WWTF",3/11/2020,,NEtFOSAA,1.42,,,,0
38,38,"Concord, NH WWTF",3/19/2021,,NEtFOSAA,2.56,1.06,,1.06,0
96,96,"Merrimack, NH WWTF",3/6/2020,,NEtFOSAA,2.82,,,,0
109,109,MWRA,3/11/2020,,NEtFOSAA,3.22,,,,0
59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,NEtFOSAA,3.39,0.521,,0.521,0
60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,NEtFOSAA,3.72,0.536,,0.536,0
108,108,MWRA,3/25/2019,,NEtFOSAA,3.73,,,,0
100,100,"Merrimack, NH WWTF",3/19/2021,,NEtFOSAA,4.17,0.491,,0.491,0
79,79,Hoosac Water Quality District,5/1/2020,,NEtFOSAA,5.98,,,,0
