"obs","censored","pp","modeled"
3.9,TRUE,0.525706050957442,1.26900205461393
3.99,FALSE,0.797519975032028,3.99
4.02,FALSE,0.802000424329961,4.02
4.2,FALSE,0.806480873627894,4.2
4.2,FALSE,0.810961322925827,4.2
4.33,FALSE,0.815441772223759,4.33
4.49,FALSE,0.819922221521692,4.49
4.56,FALSE,0.824402670819625,4.56
4.72,FALSE,0.828883120117558,4.72
4.81,FALSE,0.83336356941549,4.81
4.89,TRUE,0.418922009356712,0.830815402985419
5.1,FALSE,0.84204373810547,5.1
5.1,FALSE,0.846243457497518,5.1
5.23,FALSE,0.850443176889565,5.23
5.36,FALSE,0.854642896281612,5.36
5.39,FALSE,0.858842615673659,5.39
5.43,FALSE,0.863042335065706,5.43
5.61,TRUE,0.433621027228877,0.881311279764977
5.66,TRUE,0.433621027228877,0.881311279764977
5.8,FALSE,0.870472006243444,5.8
5.9,FALSE,0.873701958029134,5.9
6.19,TRUE,0.438465954907412,0.898542593109059
6.45,FALSE,0.879341063413216,6.45
6.5,TRUE,0.440875108505804,0.907223309256751
7.41,FALSE,0.885583913607311,7.41
7.5,FALSE,0.889417610203014,7.5
8.22,FALSE,0.893251306798716,8.22
8.5,FALSE,0.897085003394419,8.5
8.8,TRUE,0.450459349995061,0.942517890347994
10,TRUE,0.450459349995061,0.942517890347994
11,FALSE,0.903289538674306,11
11.2,TRUE,0.452830188679245,0.951440750266469
12.4,FALSE,0.91015274034142,12.4
13,FALSE,0.914645103324349,13
13,FALSE,0.919137466307278,13
14,FALSE,0.923629829290207,14
14.6,FALSE,0.928122192273136,14.6
15.3,FALSE,0.932614555256065,15.3
16,FALSE,0.937106918238994,16
16,FALSE,0.941599281221923,16
16,FALSE,0.946091644204852,16
19.5,FALSE,0.950584007187781,19.5
25,FALSE,0.95507637017071,25
25.7,FALSE,0.959568733153639,25.7
26,FALSE,0.964061096136568,26
28.8,FALSE,0.968553459119497,28.8
29,FALSE,0.973045822102426,29
29,FALSE,0.977538185085355,29
29.7,FALSE,0.982030548068284,29.7
37,FALSE,0.986522911051213,37
50,FALSE,0.991015274034142,50
61,FALSE,0.995507637017071,61
