,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
1540,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,7,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.85,,0.5539999999999999,ng/l,,0.5539999999999999
1541,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,7,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.85,,0.396,ng/l,,0.396
1542,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,7,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.85,,0.518,ng/l,,0.518
1543,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,7,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.85,,0.599,ng/l,,0.599
1544,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,7,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.85,,0.19399999999999998,ng/l,,0.19399999999999998
1545,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,7,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.85,,0.47,ng/l,,0.47
1546,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,7,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.85,,0.39899999999999997,ng/l,,0.39899999999999997
1547,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,5.20,1.84,,0.262,ng/l,5.2,0.262
1548,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,17.3,1.84,,0.242,ng/l,17.3,0.242
1549,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.84,,0.41600000000000004,ng/l,,0.41600000000000004
1550,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,6.38,1.84,,0.24,ng/l,6.38,0.24
1551,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,2.40,1.84,,0.442,ng/l,2.4,0.442
1552,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.84,,0.066,ng/l,,0.066
1553,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,20.7,1.84,,0.575,ng/l,20.7,0.575
1554,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,1.18,1.84,,0.43799999999999994,ng/l,1.18,0.43799999999999994
1555,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,3.87,1.84,,0.45299999999999996,ng/l,3.87,0.45299999999999996
1556,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.84,,0.593,ng/l,,0.593
1557,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.84,,0.254,ng/l,,0.254
1558,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.84,,0.5529999999999999,ng/l,,0.5529999999999999
1559,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.84,,0.39399999999999996,ng/l,,0.39399999999999996
1560,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.84,,0.516,ng/l,,0.516
1561,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.84,,0.597,ng/l,,0.597
1562,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.84,,0.193,ng/l,,0.193
1563,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.84,,0.46799999999999997,ng/l,,0.46799999999999997
1564,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:15,10 BEECH,Alpha,8,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.84,,0.39799999999999996,ng/l,,0.39799999999999996
1565,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.84,,0.261,ng/l,,0.261
1566,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.84,,0.242,ng/l,,0.242
1567,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.84,,0.415,ng/l,,0.415
1568,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.84,,0.239,ng/l,,0.239
1569,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.84,,0.441,ng/l,,0.441
1570,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.84,,0.066,ng/l,,0.066
1571,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.84,,0.573,ng/l,,0.573
1572,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.84,,0.43700000000000006,ng/l,,0.43700000000000006
1573,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,9.59,1.84,,0.452,ng/l,9.59,0.452
1574,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.84,,0.5920000000000001,ng/l,,0.5920000000000001
1575,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.84,,0.253,ng/l,,0.253
1576,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.84,,0.551,ng/l,,0.551
1577,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.84,,0.39299999999999996,ng/l,,0.39299999999999996
1578,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.84,,0.514,ng/l,,0.514
1579,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.84,,0.595,ng/l,,0.595
1580,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.84,,0.193,ng/l,,0.193
1581,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.84,,0.467,ng/l,,0.467
1582,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,9,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.84,,0.397,ng/l,,0.397
1583,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.81,,0.257,ng/l,,0.257
1584,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.81,,0.23800000000000002,ng/l,,0.23800000000000002
1585,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.81,,0.409,ng/l,,0.409
1586,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.81,,0.235,ng/l,,0.235
1587,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.81,,0.434,ng/l,,0.434
1588,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.81,,0.065,ng/l,,0.065
1589,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.81,,0.564,ng/l,,0.564
1590,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.81,,0.43,ng/l,,0.43
1591,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,0.868,1.81,,0.445,ng/l,0.868,0.445
1592,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.81,,0.5820000000000001,ng/l,,0.5820000000000001
1593,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.81,,0.249,ng/l,,0.249
1594,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.81,,0.542,ng/l,,0.542
1595,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.81,,0.387,ng/l,,0.387
1596,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.81,,0.506,ng/l,,0.506
1597,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.81,,0.586,ng/l,,0.586
1598,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.81,,0.19,ng/l,,0.19
1599,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.81,,0.45899999999999996,ng/l,,0.45899999999999996
1600,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:10,10 BEECH MID,Alpha,10,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.81,,0.391,ng/l,,0.391
1601,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.81,,0.258,ng/l,,0.258
1602,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,1.02,1.81,,0.239,ng/l,1.02,0.239
1603,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.81,,0.41,ng/l,,0.41
1604,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,0.254,1.81,,0.23600000000000002,ng/l,0.254,0.23600000000000002
1605,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,0.726,1.81,,0.436,ng/l,0.726,0.436
1606,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.81,,0.065,ng/l,,0.065
1607,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.81,,0.5660000000000001,ng/l,,0.5660000000000001
1608,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.81,,0.43200000000000005,ng/l,,0.43200000000000005
1609,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,23.3,1.81,,0.446,ng/l,23.3,0.446
1610,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.81,,0.584,ng/l,,0.584
1611,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,0.254,1.81,,0.25,ng/l,0.254,0.25
1612,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.81,,0.544,ng/l,,0.544
1613,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.81,,0.38799999999999996,ng/l,,0.38799999999999996
1614,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.81,,0.508,ng/l,,0.508
1615,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.81,,0.588,ng/l,,0.588
1616,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.81,,0.19,ng/l,,0.19
1617,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.81,,0.461,ng/l,,0.461
1618,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,11,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.81,,0.392,ng/l,,0.392
1619,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.75,,0.249,ng/l,,0.249
1620,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.75,,0.23,ng/l,,0.23
1621,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,HFPO-DA,Tetrafluoro-2-(heptafluoropropoxy)propanoic  acid (“GenX”),62037-80-3,ND,1.75,,0.396,ng/l,,0.396
1622,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.75,,0.228,ng/l,,0.228
1623,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.75,,0.42,ng/l,,0.42
1624,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.75,,0.063,ng/l,,0.063
1625,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.75,,0.547,ng/l,,0.547
1626,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.75,,0.41700000000000004,ng/l,,0.41700000000000004
1627,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,4.84,1.75,,0.431,ng/l,4.84,0.431
1628,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.75,,0.564,ng/l,,0.564
1629,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.75,,0.24100000000000002,ng/l,,0.24100000000000002
1630,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,1.75,,0.526,ng/l,,0.526
1631,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.75,,0.375,ng/l,,0.375
1632,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,1.75,,0.49,ng/l,,0.49
1633,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.75,,0.568,ng/l,,0.568
1634,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,11Cl-PF 3OUdS,11-chloroeicosafluoro-3-oxaundecane  -1-sulfonic acid,763051-92-9,ND,1.75,,0.184,ng/l,,0.184
1635,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.75,,0.445,ng/l,,0.445
1636,2-0021045 - Stow - MA Fire Academy/,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,03/12/21 10:05,10 BEECH EFF,Alpha,12,Dw,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.75,,0.37799999999999995,ng/l,,0.37799999999999995
