,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
44,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,2.9,,,ug/kg,,2.9
45,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,2.9,,,ug/kg,,2.9
46,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.2,,,ug/kg,,1.2
47,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.2,,,ug/kg,,1.2
48,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.2,,,ug/kg,,1.2
49,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.2,,,ug/kg,,1.2
50,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.2,,,ug/kg,,1.2
51,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.2,,,ug/kg,,1.2
52,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.2,,,ug/kg,,1.2
53,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.2,,,ug/kg,,1.2
54,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.2,,,ug/kg,,1.2
55,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.2,,,ug/kg,,1.2
56,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.2,,,ug/kg,,1.2
57,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.2,,,ug/kg,,1.2
58,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.2,,,ug/kg,,1.2
59,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.2,,,ug/kg,,1.2
60,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,3.0,,,ug/kg,,3.0
61,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,3.0,,,ug/kg,,3.0
62,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-1  9-10,SGS,13,SO - Soil,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.2,,,ug/kg,,1.2
