Facility,Sample Collection Date,Sample Field ID,Sample Laboratory ID #,Lab Name ,Sample    % Solids,Sample PFAS Conc. Units    (ng/g dry wt),PFBS    ,MRL, MDL,Qualifiers,PFBA,MRL,MDL,Qualifiers,PFDS,MRL,MDL,Qualifiers,PFDA,MRL,MDL,Qualifiers,PFDoA,MRL,MDL,Qualifiers,PFHpA,MRL,MDL,Qualifiers,PFHxS,MRL,MDL,Qualifiers,PFHxA,MRL,MDL,Qualifiers,PFNA,MRL,MDL,Qualifiers,PFTrDA,MRL,MDL,Qualifiers,PFOSA,MRL,MDL,Qualifiers,PFOA,MRL,MDL,Qualifiers,PFOS,MRL,MDL,Qualifiers,PFPeA,MRL,MDL,Qualifiers,PFTeDA,MRL,MDL,Qualifiers,PFUnA,MRL,MDL,Qualifiers,4:2FTS,MRL,MDL,Qualifiers,PFPeS,MRL,MDL,Qualifiers,6:2FTS,MRL,MDL,Qualifiers,8:2FTS,MRL,MDL,Qualifiers,PFNS,MRL,MDL,Qualifiers,NMeFOSAA,MRL,MDL,Qualifiers,NEtFOSAA,MRL,MDL,Qualifiers,PFTA,MRL,MDL,Qualifiers,PFHpS,MRL,MDL,Qualifiers,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,L2132664-01,AAL,94.8,ng/g,ND,0.51,0.08,,0.11,1.03,0.05,J,4.93,1.03,0.32,F,0.69,0.51,0.14,,0.4,1.03,0.14,J,ND,0.51,0.09,,ND,0.51,0.12,,0.86,1.03,0.11,J,0.3,0.51,0.15,J,ND,1.03,0.42,,Not Reported,,,,0.52,0.51,0.09,,5.55,0.51,0.27,F,0.16,1.03,0.095,J,,,,,0.4,1.03,0.096,J,ND,2.06,0.172,,Not Reported,,,,Not Reported,,,,ND,2.06,0.615,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,L2132664-02,AAL,94.6,ng/g,ND,0.52,0.08,,0.12,1.03,0.05,J,4.26,1.03,0.32,F,0.73,0.52,0.14,,0.45,1.03,0.14,JF,ND,0.52,0.09,,ND,0.52,0.13,,0.92,1.03,0.11,J,0.28,0.52,0.16,J,ND,1.03,0.42,,Not Reported,,,,0.55,0.52,0.09,,5.15,0.52,0.27,,0.18,1.03,0.095,J,,,,,0.41,1.03,0.097,J,ND,2.06,0.172,,Not Reported,,,,Not Reported,,,,ND,2.06,0.617,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hawk Ridge Compost,10/23/2020,Compost 1,,Eurofins,33.60%,,47.00,5.80,1.20,,38.00,0.58,0.082,,<MRL,0.58,0.110,,7.40,0.58,0.064,,2.60,0.58,0.20,,4.00,0.58,0.085,,ND,0.58,0.090,,150.00,5.80,1.200,,2.40,0.58,0.110,,Not Reported,,,,Not Reported,,,,13.00,0.58,0.25,,13.00,1.50,0.58,,17.00,0.58,0.22,,Not Reported,,,,1.40,0.58,0.11,,Not Reported,,,,ND,0.58,0.058,,Not Reported,,,,Not Reported,,,,ND,0.58,0.058,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hawk Ridge Compost,10/23/2020,Compost 2,,Eurofins,36,,33.00,5.40,0.68,,29.00,5.40,0.760,,ND,5.40,1.100,,6.20,5.40,0.590,,<MRL,5.40,1.80,J,<MRL,5.40,0.780,J,ND,5.40,0.840,,120.00,5.40,1.100,,<MRL,5.40,0.970,J,Not Reported,,,,Not Reported,,,,11.00,5.40,2.30,,<MRL,14.00,5.40,J I,11.00,5.4,2.1,,Not Reported,,,,<MRL,5.4,0.97,J,Not Reported,,,,ND,5.4,0.54,,Not Reported,,,,Not Reported,,,,ND,5.4,0.54,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hawk Ridge Compost Facility,5/2/2021,HRCF051221,320-73711-1,Eurofins,38.20%,ng/g,65,4.7,0.59,,47,4.7,0.66,,ND,4.7,..92,,6,4.7,0.52,,ND,4.7,1.6,,<MRL,4.7,0.68,J,<MRL,4.7,0.73,JI,140,4.7,0.99,,<MRL,4.7,0.85,J,ND,4.7,1.2,,Not Reported,,,,14,4.7,2,,<MRL,12,4.7,J ,15,4.7,1.8,,,,,,<MRL,4.7,0.85,J,Not Reported,,,,ND,4.7,0.47,,Not Reported,,,,Not Reported,,,,ND,4.7,0.47,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hawk Ridge Compost Facility,5/2/2021,HRCF 051221-DUP,320-73711-2,Eurofins,34.10%,ng/g,78,5.8,0.73,,48,5.8,0.81,,ND,5.8,1.1,,7.1,5.8,0.64,,ND,5.8,1.9,,<MRL,5.8,0.84,J,ND,5.8,0.9,,170,5.8,1.2,,<MRL,5.8,1,J,ND,5.8,1.5,,Not Reported,,,,16,5.8,2.5,,<MRL,15,5.8,J,17,5.8,2.2,,,,,,ND,5.8,1,,Not Reported,,,,ND,5.8,0.58,,Not Reported,,,,Not Reported,,,,ND,5.8,0.58,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,5/1/2020,,,Alpha Analytical,41%,ng/g,38.4,,,,8.41,,,,<MRL,2.3,,,11.6,,,,3.88,,,,5.4,,,,<MRL,2.3,,,66.5,,,,3.68,,,,<MRL,2.3,,,Not Reported,,,,29.7,,,,14.8,,,,11.1,,,,Not Reported,,,,<MRL,2.3,,,<MRL,2.3,,,<MRL,2.3,,,<MRL,2.3,,,2.78,,,,<MRL,2.3,,,15.4,,,,5.98,,,,<MRL,2.3,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,9/15/2020, , ,Alpha Analytical,43%,ng/g,31.8, , , ,9.51, , , ,<MRL,1.12, , ,13.7,, , ,4.13, , , ,4.5,, , ,<MRL,1.12, , ,41.3, , , ,3.72,, , ,<MRL,1.12, , ,Not Reported, , , ,28.8,, , ,19,,,,12.2,,,,Not Reported,,,,2.2,,,,Not Reported,,,,<MRL,1.12,,,Not Reported,,,,Not Reported,,,,<MRL,1.12,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,12/9/2020,,,Alpha Analytical,54%,ng/g,30.2,1.69,,,14.8,1.69,,,ND,1.69,,,10.4,1.69,,,3.79,1.69,,F,3.53,1.69,,,ND,1.69,,,38.7,1.69,,,3.13,1.69,,,ND,1.69,,,Not Reported,,,,19.5,1.69,,,17.2,1.69,,F,10,1.69,,,Not Reported,,,,1.92,1.69,,,Not Reported,,,,ND,1.69,,,Not Reported,,,,Not Reported,,,,ND,1.69,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,3/3/2021,Final Compost,L2110396-01,Alpha Analytical,55.1,ng/g,35.8,0.212,,,12.4,0.424,,,1.55,0.424,,,12.2,0.212,,,4.16,0.424,,,4.87,0.212,,,0.967,0.212,,,53.8,0.424,,,3.91,0.212,,,0.862,0.424,,,Not Tested,,,,25.7,0.212,,,18.7,0.212,,,12.4,0.424,,,Not Tested,,,,2.22,0.424,,,Not Tested,,,,ND,0.849,,,Not Tested,,,,Not Tested,,,,ND,0.849,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,3/3/2021,"Final Compost
Duplicate",L2110396-02,Alpha Analytical,54.4,ng/g,36.6,0.221,, ,12.7,0.443,, ,1.29,0.443,, ,12.2,0.221,, ,3.93,0.443,, ,4.61,0.221,, ,0.93,0.221,, ,51.8,0.443,, ,3.69,0.221,, ,0.816,0.443,, ,Not Tested, , , ,25,0.221,, ,17.8,0.221,, ,12.6,0.443,, ,Not Tested, , , ,2.1,0.443,, ,Not Tested, , , ,ND,0.886,, ,Not Tested, , , ,Not Tested, , , ,ND,0.886,, ,Not Tested, , , ,Not Tested, , , ,Not Tested, , , ,Not Tested, , , ,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,6/2/2021,Final Compost,L2129451-01,"Alpha
Analytical",57.00%,ng/g,19.4,0.209,--,,10.1,0.418,--,,1.24,0.418,--,,8.08,0.209,--,,3.6,0.418,--,,2.99,0.209,--,,0.787,0.209,--,F,29.1,0.418,--,,1.9,0.209,--,,0.741,0.418,--,,Not Tested,,,,14.6,0.209,--,,13.1,0.209,--,,6.68,0.418,--,,,,,,1.74,0.418,--,,Not Tested,,,,Not Tested,,,,ND,0.835,--,,Not Tested,,,,Not Tested,,,,ND,0.835,--,,Not Reported,,,,Not Reported,,,,Not Tested,,,,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,6/2/2021,"Final Compost
Duplicate",L2129451-02,"Alpha
Analytical",56.00%,ng/g,19.6,0.776,--,,12,1.55,--,,ND,1.55,--,,8.88,0.776,--,,4.45,1.55,--,,3.08,0.776,--,,ND,0.776,--,,31.4,1.55,--,,2.25,0.776,--,,ND,1.55,--,,Not Tested,,,,15.3,0.776,--,,14.6,0.776,--,,6.14,1.55,--,,,,,,2,1.55,--,,Not Tested,,,,Not Tested,,,,ND,3.1,--,,Not Tested,,,,Not Tested,,,,ND,3.1,--,,Not Reported,,,,Not Reported,,,,Not Tested,,,,,,,,,,,,,,,,,,,,
Hoosac Water Quality District,6/2/2021,"Field
Blank",L2129451-03,"Alpha
Analytical",56.00%,ng/g,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,Not Tested,,,,ND,1.8,--,,ND,1.8,--,,ND,1.8,--,,,,,,ND,1.8,--,,Not Tested,,,,Not Tested,,,,ND,1.8,--,,Not Tested,,,,Not Tested,,,,ND,1.8,--,,Not Reported,,,,Not Reported,,,,Not Tested,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,4/16/2020,,,Alpha Analytical,41%,ng/g,1.74,,,,2.01,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,1.88,,,,<MRL,1.18,,,7.23,,,,1.23,,,,Not Reported,,,,Not Reported,,,,5.39,,,,3.84,,,,8.79,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,9/25/2020, , ,Alpha Analytical,68%,ng/g,1.6, , , ,4.95, , , ,<MRL,0.732, , ,2.4,, , ,1.02, , , ,<MRL,0.732, , ,<MRL,0.732, , ,10.5, , , ,1.61,, , ,0.968, , , ,Not Reported, , , ,2.43,, , ,2.32,,,,1.06,,,,Not Reported,,,,2.36,,,,Not Reported,,,,<MRL,0.732,,,Not Reported,,,,Not Reported,,,,<MRL,0.732,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,12/30/2020,Primary,,Alpha Analytical,37%,ng/g,1.8,0.318,,,1.2,0.635,,,ND,0.635,,,1.68,0.318,,,ND,0.635,,,0.938,0.318,,,ND,0.318,,,40.8,0.635,,,1.49,0.318,,,ND,0.635,,,Not Reported,,,,5.8,0.318,,,1.61,0.318,,,1.4,0.635,,,Not Reported,,,,0.69,0.635,,,Not Reported,,,,ND,1.27,,,Not Reported,,,,Not Reported,,,,ND,1.27,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,12/30/2020,Duplicate,,Alpha Analytical,39%,ng/g,2.12,0.306,,,1.62,0.611,,,ND,0.611,,,2.4,0.306,,,0.835,0.611,,,1.09,0.306,,,ND,0.306,,,44.4,0.611,,,1.91,0.306,,,ND,0.611,,,Not Reported,,,,6.45,0.306,,,1.97,0.306,,,1.78,0.611,,,Not Reported,,,,0.87,0.611,,,Not Reported,,,,ND,1.22,,,Not Reported,,,,Not Reported,,,,ND,1.22,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,3/22/2021,Primary,,Alpha Analytical,50%,ng/g,1.14,0.231,,,4.15,0.462,,,ND,0.462,,,0.863,0.231,,,ND,0.462,,,0.287,0.231,,,ND,0.231,,,6.78,0.462,,,0.352,0.231,,,ND,0.462,,,Not Reported,,,,1.44,0.231,,,1.28,0.231,,,0.745,0.462,,,Not Reported,,,,ND,0.462,,,Not Reported,,,,ND,0.924,,,Not Reported,,,,Not Reported,,,,ND,0.924,,,Not reported,,,,Not Reported,,,,Not Reported,,,,Not reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,3/22/2021,Duplicate,,Alpha Analytical,51%,ng/g,1.49,0.243,,,4.45,0.485,,,ND,0.485,,,1.29,0.243,,,ND,0.485,,,0.368,0.243,,,ND,0.243,,,8.54,0.485,,,0.481,0.243,,,ND,0.485,,,Not Reported,,,,2.1,0.243,,,1.92,0.243,,,1.21,0.485,,,Not Reported,,,,ND,0.485,,,Not Reported,,,,ND,0.97,,,Not Reported,,,,Not Reported,,,,ND,0.97,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,3/22/2021,Primary,,Alpha Analytical,50%,ng/g,1.14,0.231,,,4.15,0.462,,,ND,0.462,,,0.863,0.231,,,ND,0.462,,,0.287,0.231,,,ND,0.231,,,6.78,0.462,,,0.352,0.231,,,ND,0.462,,,Not Reported,,,,1.44,0.231,,,1.28,0.231,,,0.745,0.462,,,Not Reported,,,,ND,0.462,,,Not Reported,,,,ND,0.924,,,Not Reported,,,,Not Reported,,,,ND,0.924,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,3/22/2021,Duplicate,,Alpha Analytical,51%,ng/g,1.49,0.243,,,4.45,0.485,,,ND,0.485,,,1.29,0.243,,,ND,0.485,,,0.368,0.243,,,ND,0.243,,,8.54,0.485,,,0.481,0.243,,,ND,0.485,,,Not Reported,,,,2.1,0.243,,,1.92,0.243,,,1.21,0.485,,,Not Reported,,,,ND,0.485,,,Not Reported,,,,ND,0.97,,,Not Reported,,,,Not Reported,,,,ND,0.97,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Ipswich Compost,6/4/2021,Ipswich Compost,L2130511,Alpha Analytical,44%,ng/g,2.34, , , ,ND, , , ,ND, , , ,1.83, , , ,ND, , , ,0.725, , , ,ND, , , ,21.8, , , ,0.567, , , ,ND, , , ,Not Reported, , , ,3.74, , , ,3.2, , , ,2.55, , , ,, , , ,ND, , , ,Not Reported, , , , , , , ,ND, , , ,Not Reported, , , , , , , ,ND, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
"Merrimack, NH WWTF",3/6/2020,,,Alpha Analytical,47%,,12.5,,,,12.3,,,,<MRL,1.01,,,4.42,,,,1.22,,,,1.65,,,,<MRL,1.01,,,39.7,,,,1.46,,,,<MRL,1.01,,,Not Reported,,,,7.41,,,,7.62,,,,7.99,,,,Not Reported,,,,<MRL,1.01,,,<MRL,1.01,,,<MRL,1.01,,,2.44,,,,1.61,,,,<MRL,1.01,,,9.71,,,,2.82,,,,<MRL,1.01,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Merrimack, NH WWTF",9/17/2020, , ,Alpha Analytical,27%, ,14, , , ,9.16, , , ,<MRL,1.81, , ,9.14,, , ,1.84, , , ,2.45,, , ,<MRL,1.81, , ,58.1, , , ,8.24,, , ,<MRL,1.81, , ,Not Reported, , , ,12.4,, , ,10.3,,,,14.5,,,,Not Reported,,,,2.31,,,,Not Reported,,,,<MRL,1.81,,,Not Reported,,,,Not Reported,,,,<MRL,1.81,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Merrimack, NH WWTF",9/17/2020,PRIMARY SAMPLE,,Alpha Analytical,49%,,4.96,,,,5.92,,,,ND,0.982,,,3.78,,,,ND,0.982,,,1.21,,,,ND,0.246,,,24.20,,,,3.37,,,,ND,0.982,,,6.40,,,,5.23,,,,6.62,,,,1.43,,,,,,,,ND,0.982,,,Not Reported,,,,ND,0.982,,,Not Reported,,,,Not Reported,,,,ND,0.982,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Merrimack, NH WWTF",9/17/2020,Duplicate,,Alpha Analytical,49%,,4.20,,,,5.16,,,,ND,0.961,,,3.22,,,,ND,0.961,,,1.00,,,,ND,0.240,,,20.10,,,,2.75,,,,ND,0.961,,,5.25,,,,4.72,,,,6.81,,,,1.35,,,,,,,,ND,0.961,,,Not Reported,,,,ND,0.961,,,Not Reported,,,,Not Reported,,,,ND,0.961,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Merrimack, NH WWTF",3/19/2021,,,Alpha Analytical,50%,,7.54,0.25,,,9.56,0.49,,,0.89,0.491,,,4.73,0.25,,,1.39,0.491,,,1.58,0.25,,,0.31,0.245,,,35.20,0.49,,,2.72,0.25,,,ND,0.491,,,Not Reported,,,,8.22,0.25,,,5.54,0.25,,,8.26,0.49,,,Not Reported,,,,1.23,0.491,,,ND,0.98,,,ND,0.982,,,2.37,0.49,,,1.15,0.491,,,ND,0.982,,,13.3,0.491,,,4.17,0.491,,,ND,0.491,,,ND,0.491,,,,,,,,,,,,,,,,,,,
"Merrimack, NH WWTF",6/2/2021,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middleborough ,10/30/2020,,,EST Associates Inc. ,,,ND,0.75,,,ND,0.75,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,0.23,,,J,ND,0.75,,,7.6,,,,0.83,,,,Not Tested,,,,Not Tested,,,,3.6,,,,10,,,,0.53,J,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Milorganite,5/28/2020,,,Eurofins,92%,,<MRL,0.26,,,1.4,,,J B,Not Reported,,,,Not Reported,,,,Not Reported,,,,<MRL,0.3,,,0.7,,,J I,17,,,,0.52,,,J,Not Reported,,,,Not Reported,,,,1.2,,,J,15,,,B,3.9,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Montague WPCF,10/26/2020,1,320-66094-1,"Eurofins TestAmerica, Sacramento", , ,ND,5.6,0.7,H,7.4,5.6,0.78,H B,ND,5.6,1.1,H,1.5,5.6,0.61,J H,ND,5.6,1.9,H,ND,5.6,0.81,H, ,, , ,2,5.6,1.2,J H,ND,5.6,1,H,ND,5.6,1.4,H,Not Reported, , , ,ND,5.6,2.4,H, ,, , ,ND,5.6,2.1,H, , , , ,ND,5.6,1,H,Not Reported, , , ,ND,5.6,0.56,H,Not Reported, , , ,Not Reported, , , ,ND,5.6,0.56,H,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Montague WPCF,10/26/2020,1 DUPLICATE,320-66094-3,"Eurofins TestAmerica, Sacramento", , ,ND,5.1,0.63,H,8.6,5.1,0.71,H B,ND,5.1,0.99,H,0.74,5.1,0.56,J H,ND,5.1,1.7,H,ND,5.1,0.73,H, ,, , ,2.6,5.1,1.1,J H,ND,5.1,0.91,H,ND,5.1,1.3,H,Not Reported, , , ,ND,5.1,2.2,H, ,, , ,ND,5.1,1.9,H, , , , ,ND,5.1,0.91,H,Not Reported, , , ,ND,5.1,0.51,H,Not Reported, , , ,Not Reported, , , ,ND,5.1,0.51,H,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Montague WPCF,3/16/2021,Primary,,"Eurofins TestAmerica, Sacramento",20.90%,,ND,3.5,0.44,,<MRL,3.5,0.5,J B,ND,3.5,0.69,F1,ND,3.5,0.39,,ND,3.5,1.2,,ND,3.5,0.51,,<MRL,3.5,0.55,J I,<MRL,3.5,0.75,J,ND,3.5,0.64,,Not Reported,,,,Not Reported,,,,ND,3.5,1.5,,44,8.9,3.5,I B,ND,3.5,1.4,,Not Reported,,,,ND,3.5,0.64,,Not Reported,,,,ND,3.5,0.35,,Not Reported,,,,Not Reported,,,,ND,3.5,0.35,F1,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Montague WPCF,3/16/2021,Duplicate,,"Eurofins testAmerica, Sacramento",21.80%,,ND,3.3,0.42,,<MRL,3.3,0.47,J B,ND,3.3,0.65,,ND,3.3,0.37,,ND,3.3,1.1,,ND,3.3,0.48,,<MRL,3.3,0.52,J I,<MRL,3.3,0.7,J,ND,3.3,0.6,,Not Reported,,,,Not Reported,,,,ND,3.3,1.4,,ND,8.3,3.3,,ND,3.3,1.3,,Not Reported,,,,ND,3.3,0.6,,Not Reported,,,,ND,3.3,0.33,,Not Reported,,,,Not Reported,,,,ND,3.3,0.33,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,3/25/2019,,,Alpha Analytical,95%,,<MRL,0.893,,,1.01,,,,0.902,,,,1.1,,,,1.06,,,,<MRL,0.893,,,<MRL,0.893,,,2.12,,,,<MRL,0.893,,,<MRL,0.89,,,Not Reported,,,,1.16,,,,17.3,,,,<MRL,0.893,,,Not Reported,,,,0.899,,,,<MRL,0.893,,,<MRL,0.893,,,<MRL,0.893,,,<MRL,0.893,,,<MRL,0.893,,,1.78,,,,3.73,,,,<MRL,0.893,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,3/11/2020,,,Alpha Analytical,95%,,<MRL,0.506,,,0.78,,,,<MRL,10,,,1.08,,,,Not Reported,,,,<MRL,0.506,,,<MRL,0.506,,,2.07,,,,0.7,,,,0.573,,,,Not Reported,,,,0.954,,,,16,,,,<MRL,0.506,,,Not Reported,,,,0.905,,,,<MRL,0.506,,,<MRL,0.506,,,<MRL,0.506,,,0.599,,,,<MRL,0.506,,,1.92,,,,3.22,,,,<MRL,0.506,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,9/14/2020, , ,Alpha Analytical,95%, ,<MRL,0.51, , ,<MRL,0.51, , ,1.36, , ,F,0.798,, , ,0.883, , , ,<MRL,0.51, , ,<MRL,0.51, , ,1.96, , , ,0.849,, , ,0.51, , , ,Not Reported, , , ,0.568,, , ,7.84,,,F,<MRL,0.51,,,Not Reported,,,,0.821,,,,Not Reported,,,,<MRL,0.51,,,Not Reported,,,,Not Reported,,,,<MRL,0.51,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,9/14/2020,Primary,,Alpha Analytical,95%,,ND,0.51,,,ND,0.51,,,1.36,0.51,,F,0.80,0.51,,,0.88,0.51,,,ND,0.51,,,ND,0.51,,,1.96,0.51,,,0.85,0.51,,,ND,0.51,,,Not Reported,,,,0.57,0.51,,,8,0.51,,F,ND,0.51,,,Not Reported,,,,0.821,0.51,,,Not Reported,,,,ND,0.51,,,Not Reported,,,,Not Reported,,,,ND,0.51,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,9/14/2020,Duplicate,,Alpha Analytical,95%,,ND,0.50,,,ND,0.50,,,1.28,0.50,,F,0.88,0.50,,,0.90,0.50,,,ND,0.50,,,ND,0.5,,,1.93,0.5,,,0.84,0.5,,,ND,0.5,,,Not Reported,,,,0.55,0.5,,,9,0.5,,F,ND,0.5,,,Not Reported,,,,0.809,0.5,,,Not Reported,,,,ND,0.5,,,Not Reported,,,,Not Reported,,,,ND,0.5,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,12/22/2020,Primary,,Alpha Analytical,95%,,ND,0.50,,,ND,1.00,,,6.02,1.00,,F,1.13,0.50,,,1.02,1.00,,F,ND,0.50,,,ND,0.503,,,1.42,1,,,0.52,0.503,,,ND,1,,,Not Reported,,,,0.791,0.503,,F,17.3,0.503,,F,ND,1,,,Not Reported,,,,ND,1,,,Not Reported,,,,ND,2.01,,,Not Reported,,,,Not Reported,,,,ND,2.01,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,12/22/2020,Duplicate,,Alpha Analytical,95%,,ND,0.46,,,ND,0.92,,,5.23,0.92,,F,1.04,0.46,,,ND,0.92,,,ND,0.46,,,ND,0.458,,,1.31,0.915,,,0.495,0.458,,,ND,0.915,,,Not Reported,,,,0.727,0.458,,F,15.9,0.458,,F,ND,0.915,,,Not Reported,,,,ND,0.915,,,Not Reported,,,,ND,1.83,,,Not Reported,,,,Not Reported,,,,ND,1.83,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,3/11/2021,Primary,,Alpha Analytical,94%,,ND,0.13,,,1.12,0.26,,,ND,2.59,,,1.04,0.13,,,ND,13.00,,,ND,0.13,,,0.21,0.13,,F,1.81,0.259,,,0.538,0.13,,,0.819,0.259,,,Not Reported,,,,0.901,0.13,,,16.1,0.13,,,ND,0.259,,,Not Reported,,,,ND,2.59,,,Not Reported,,,,ND,0.519,,,Not Reported,,,,Not Reported,,,,ND,5.19,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
MWRA,3/11/2021,Duplicate,,Alpha Analytical,94%,,ND,0.13,,,1.15,0.26,,,ND,2.57,,,1.11,0.13,,,ND,12.80,,,ND,0.13,,,0.25,0.128,,F,1.9,0.257,,,0.614,0.128,,,0.426,0.257,,,Not Reported,,,,0.888,0.128,,,15.9,0.128,,,ND,0.257,,,Not Reported,,,,ND,2.57,,,Not Reported,,,,ND,0.257,,,Not Reported,,,,Not Reported,,,,ND,5.14,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Nashua WWTF,2/26/2021,Primary,,"Eurofins TestAmerica, Sacramento",29%,,ND,6.70,0.83,,ND,6.70,0.93,,ND,6.70,1.30,,<MRL,6.70,0.73,J,ND,6.70,2.20,,ND,6.70,0.97,,ND,6.7,1,,<MRL,6.7,1.4,J,ND,6.7,1.2,,Not Reported,,,,Not Reported,,,,ND,6.7,2.9,,<MRL,17,6.7,J B,ND,6.7,2.6,,Not Reported,,,,<MRL,6.7,1.2,J,Not Reported,,,,ND,6.7,0.67,,Not Reported,,,,Not Reported,,,,ND,6.7,0.67,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
