Facility,Sample Collection Date,Sample Field ID,Sample Laboratory ID #,Lab Name ,Sample    % Solids,Sample PFAS Conc. Units    (ng/g dry wt),PFBS    ,MRL, MDL,Qualifiers,PFBA,MRL,MDL,Qualifiers,PFDS,MRL,MDL,Qualifiers,PFDA,MRL,MDL,Qualifiers,PFDoA,MRL,MDL,Qualifiers,PFHpA,MRL,MDL,Qualifiers,PFHxS,MRL,MDL,Qualifiers,PFHxA,MRL,MDL,Qualifiers,PFNA,MRL,MDL,Qualifiers,PFTrDA,MRL,MDL,Qualifiers,PFOSA,MRL,MDL,Qualifiers,PFOA,MRL,MDL,Qualifiers,PFOS,MRL,MDL,Qualifiers,PFPeA,MRL,MDL,Qualifiers,PFTeDA,MRL,MDL,Qualifiers,PFUnA,MRL,MDL,Qualifiers,4:2FTS,MRL,MDL,Qualifiers,PFPeS,MRL,MDL,Qualifiers,6:2FTS,MRL,MDL,Qualifiers,8:2FTS,MRL,MDL,Qualifiers,PFNS,MRL,MDL,Qualifiers,NMeFOSAA,MRL,MDL,Qualifiers,NEtFOSAA,MRL,MDL,Qualifiers,PFTA,MRL,MDL,Qualifiers,PFHpS,MRL,MDL,Qualifiers,,,,,,,,,,,,,,,,,
Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids DUP,320-67635-2,"Eurofins TestAmerica, Sacramento", , ,0.94,3.5,0.44,J I,0.66,3.5,0.49,J F1,0.7,3.5,0.68,J,1.6,3.5,0.39,J,ND,3.5,1.2,F1,ND,3.5,0.51, ,ND,3.5,0.54, ,8.8,3.5,0.74, ,0.67,3.5,0.63,J,ND,3.5,0.89,F1,Not Reported, , , ,3,3.5,1.5,J,ND,8.8,3.5, ,ND,3.5,1.4,F1, , , , ,0.68,3.5,0.63,J I F1,Not Reported, , , ,ND,3.5,0.35,F1,Not Reported, , , ,Not Reported, , , ,ND,3.5,0.35, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Bridgewater Sewer,1/27/2021,Primary,,"Eurofins TestAmerica, Sacramento",31.70%,ng/g,<MRL,5.9,0.74,J,<MRL,5.9,0.83,J B F1,ND,5.9,1.2,,<MRL,5.9,0.65,J,ND,5.9,2,,ND,5.9,0.86,F1,ND,5.9,0.92,,16,5.9,1.2,F1,ND,5.9,1.1,,Not Reported,,,,Not Reported,,,,5.9,5.9,2.6,,ND,15,5.9,,ND,5.9,2.3,F1,Not Reported,,,,ND,5.9,1.1,F1,Not Reported,,,,ND,5.9,0.59,,Not Reported,,,,Not Reported,,,,ND,5.9,0.59,F1,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Bridgewater Sewer,1/27/2021,Duplicate,,"Eurofins TestAmerica, Sacramento",29%,ng/g,<MRL,6.4,0.8,J,<MRL,6.4,0.9,J B,ND,6.4,1.2,,<MRL,6.4,0.7,J,ND,6.4,2.1,,<MRL,6.4,0.93,J,ND,6.4,0.99,,17,6.4,1.3,,ND,6.4,1.2,,Not Reported,,,,Not Reported,,,,<MRL,6.4,2.8,J,ND,16,6.4,,ND,6.4,2.5,,Not Reported,,,,ND,6.4,1.2,,Not Reported,,,,ND,6.4,0.64,,Not Reported,,,,Not Reported,,,,ND,6.4,0.64,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost,320-73050-1,"Eurofins TestAmerica, Sacramento",47%,ng/g,0.49,0.4,0.051,I,0.53,0.4,0.057,,0.6,0.4,0.079,,3,0.4,0.044,,1.2,0.4,0.14,,0.6,0.4,0.059,,<MRL,0.4,0.063,J,7.3,0.4,0.085,,0.67,0.4,0.073,,ND,0.4,0.1,,Not Reported,,,,5.1,0.4,0.17,,4.8,1,0.4,,0.85,0.4,0.16,,,,,,0.61,0.4,0.073,,Not Reported,,,,ND,0.4,0.04,,Not Reported,,,,Not Reported,,,,ND,0.4,0.04,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost Duplicate,320-73050-2,"Eurofins TestAmerica, Sacramento",47%,ng/g,1.6,0.49,0.061,I F1,0.56,0.49,0.068,,0.56,0.49,0.095,,3.4,0.49,0.053,,1.2,0.49,0.16,,0.48,0.49,0.07,J,<MRL,0.49,0.075,J,6.3,0.49,0.1,,0.71,0.49,0.087,,ND,0.49,0.12,F1,Not Reported,,,,5.1,0.49,0.21,,5.1,1.2,0.49,,0.5,0.49,0.19,,,,,,0.58,0.49,0.087,I,Not Reported,,,,ND,0.49,0.049,,Not Reported,,,,Not Reported,,,,ND,0.49,0.049,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Bristol RI, WPCF",10/14/2020,,,ESS Laboratory,67%,,0.61,,,J,0.59,,,J,<MRL,0.54,,U,1.70,,,J,0.90,,,J,0.65,,,J,1.30,,,J ,5,,,,<MRL,0.54,,U,<MRL,0.44,,U,Not Reported,,,,2.5,,,,2.1,,,,0.64,,,J,Not Reported,,,,0.62,,,J,Not Reported,,,,1,,,J,Not Reported,,,,Not Reported,,,,<MRL,0.48,,U,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Bristol RI, WPCF",2/10/2021,,,ESS Laboratory,65%,,<MRL,2,0.34,J,<MRL,2,0.48,J,<MRL,2,0.54,U,<MRL,2,0.48,J,<MRL,2,0.38,J,<MRL,2,0.34,J,<MRL,2,0.6,U,6.2,2,0.32,,<MRL,2,0.54,U,<MRL,2,0.44,U,Not Reported,,,,3.6,2,0.4,,<MRL,2,0.54,U,<MRL,2,0.46,J,Not Reported,,,,<MRL,2,0.5,U,Not Reported,,,,<MRL,2,0.52,U,Not Reported,,,,Not Reported,,,,<MRL,2,0.48,U,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Cascades Paper Mill,12/11/2020,Primary,,Eurofins,32%,,ND,6.10,0.77,,ND,6.10,0.86,,ND,6.10,1.20,,ND,6.10,0.68,,ND,6.10,2.10,,ND,6.10,0.89,,ND,6.1,0.95,,ND,6.1,1.3,,ND,6.1,1.1,,Not Reported,,,,Not Reported,,,,ND,6.1,2.6,,ND,15,6.1,,ND,6.1,2.4,,Not Reported,,,,ND,6.1,1.1,F1,Not Reported,,,,ND,6.1,0.61,F1 *+,Not Reported,,,,Not Reported,,,,ND,6.1,0.61,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Cascades Paper Mill,12/11/2020,Duplicate,,Eurofins,37%,,ND,5.20,0.65,,<MRL,5.20,0.73,J B,ND,5.20,1.00,,ND,5.20,0.57,,ND,5.20,1.70,,ND,5.20,0.76,,ND,5.2,0.81,,ND,5.2,1.1,,ND,5.2,0.94,,Not Reported,,,,Not Reported,,,,ND,5.2,2.2,,ND,13,5.2,,ND,5.2,2,,Not Reported,,,,ND,5.2,0.94,,Not Reported,,,,MD,5.2,0.52,*+,Not Reported,,,,Not Reported,,,,ND,5.2,0.52,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Cascades Paper Mill,3/1/2021,Primary,,"Eurofins TestAmerica, Sacramento",36%,,ND,5.30,0.67,,ND,5.30,0.75,,ND,5.30,1.00,,ND,5.30,0.59,,ND,5.30,1.80,,ND,5.30,0.78,,ND,5.3,0.83,,ND,5.3,1.1,,ND,5.3,0.96,,Not Reported,,,,Not Reported,,,,ND,5.3,2.3,,ND,13,5.3,,ND,5.3,2.1,,Not Reported,,,,ND,5.3,0.96,,Not Reported,,,,ND,5.3,0.53,,Not Reported,,,,Not Reported,,,,ND,5.3,0.53,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
